 

stn;time;htoautj0
SLFVD2;20200602;97
SLFVD2;20200603;90
SLFVD2;20200604;90
SLFVD2;20200605;90
SLFVD2;20200606;86
SLFVD2;20200607;83
SLFVD2;20200608;80
SLFVD2;20200609;80
SLFVD2;20200610;78
SLFVD2;20200611;75
SLFVD2;20200612;66
SLFVD2;20200613;60
SLFVD2;20200614;54
SLFVD2;20200615;51
SLFVD2;20200616;46
SLFVD2;20200617;43
SLFVD2;20200618;37
SLFVD2;20200619;33
SLFVD2;20200620;28
SLFVD2;20200621;20
SLFVD2;20200622;7
SLFVD2;20200623;7
SLFVD2;20200624;7
SLFVD2;20200625;7
SLFVD2;20200626;6
SLFVD2;20200627;5
SLFVD2;20200628;7
SLFVD2;20200629;6
SLFVD2;20200630;7
SLFVD2;20200701;8

